제목,작가,평점,장르,연령,한줄 스토리,스토리 키워드,학원물
인생존망,박태준 / 전선욱,9.84,"에피소드, 액션",0,학교 다닐때 날 지독하게 괴롭힌 너 때문에 난 인생이 망했어.그런데 왜 넌 안 망하고 오히려 더 떵떵거리며 사는거야?너도 한번 내가 되어서 너한테 똑같이 당해봐!!,"['인생', '학교', '내가', '한번']",1
독립일기,자까,9.97,"에피소드, 일상",0,처음으로 나만의 집이 생긴다면? 자까 작가의 나혼자 사는 이야기,"['혼자', '처음']",0
유미의 세포들,이동건,9.93,"에피소드, 로맨스",0,유미는 지금 무슨 생각을 하고 있을까?그녀의 머릿속에서 바쁘게 움직이는 세포들 이야기!,"['머릿속', '세포', '유미', '생각']",0
모죠의 일지,모죠,9.97,"에피소드, 개그",0,소신있는 취향과 내성적인 성향.훌륭한 집순이 모죠의 은밀한 비밀들,"['소신', '취향', '비밀', '성향', '내성', '내성적']",0
한림체육관,혜성 / 이석재,9.72,"에피소드, 액션",0,'세상에서 가장 강한 남자가 되고 싶다.'그릇된 강함을 실천하던 전영하가 한림체육관에 들어와 진정한 강함을 깨닫고 무도인으로 거듭나는 학원 액션물,"['한림', '학원', '무도', '체육관', '실천', '영하', '액션물', '그릇', '진정', '세상']",1
호랑이 들어와요,배세혁 / 유은,9.93,"에피소드, 판타지",0,숲속의 젊은 부부와 어느 날 그들에게 찾아온정체불명의 아이들이 만들어가는 즐겁고 신묘한 일상,"['일상', '신묘', '아이', '불명', '정체불명', '부부']",0
삼국지톡,무적핑크 / 이리,9.94,"에피소드, 시대극",0,"""유비, 조조, 손권 등 영웅들이 활약하던 후한, 그 난세에 핸드폰이 있었다면?메신저로 소통하고, 개인 방송으로 군사를 모집한다! 이제껏 보지 못한 완전히 새로운 삼국지!""","['활약', '모집', '영웅', '메신저', '핸드폰', '개인', '방송', '군사', '삼국지', '조조', '소통', '난세']",0
약한영웅,서패스 / 김진석,9.9,"에피소드, 액션",0,"선천적으로 약한 소년이두뇌와 도구, 심리를 이용하여 싸운다.이제 그의 또 다른 이름은 '은장백사'다.","['백사', '이름', '도구', '선천', '이용', '심리', '선천적', '소년', '두뇌']",0
화장 지워주는...,이연,9.94,"에피소드, 드라마",0,밋밋한 얼굴의 대학생이 천재 메이크업 아티스트의 뮤즈?!,"['아티스트', '뮤즈', '메이크업', '얼굴', '천재', '대학생']",0
겟백,세윤,9.98,"에피소드, 드라마",0,"7년 전, 운명이 뒤바뀐 소녀들. 태어날 때 부터 타고난 능력을 지닌 다정과 그런 천재가 부러웠던 언니 은정.  그렇게 하루 하루가 지옥이었다!","['하루', '다정', '언니', '지옥', '은정', '운명', '천재', '능력', '소녀']",0
칼가는 소녀,오리,9.97,"에피소드, 드라마",0,치사율 100%의 인싸 희귀병 소녀 '사랑'누구보다 차분하고 두려움 없는 같은 반 소녀 '은조'두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다.네이버웹툰 최강자전 18년 대표작.,"['두려움', '사랑', '대표작', '가슴', '최강', '희귀', '최강자', '복수', '소녀', '세상', '치사율']",0
닥터앤닥터 육...,닥터베르,9.98,"에피소드, 일상",0,"산부인과 의사 엄마의 임신과 출산, 공학박사 아빠의 논문 기반 육아.완벽할 것만 같은 이들의 앞길은 과연 순탄할까?탄탄대로를 달리던 두 사람의 좌충우돌, 우여곡절 중구난방 육아 이야기!웃다 울고, 울다가 웃게 되는 최고의 항문용 발모제툰!","['앞길', '아빠', '우여곡절', '의사', '엄마', '좌충우돌', '임신', '완벽', '논문', '박사', '육아', '발모제', '기반', '대로', '공학', '항문', '중구난방', '최고', '산부인과', '출산', '모제', '난방']",0
나쁜사람,둠스,9.86,"에피소드, 개그",0,착한 남자가 좋다는 그녀의 이상형이 되기 위해 10년 동안 노력했다. 그런데! 갑자기 나쁜 남자가 좋다는 그녀...오늘부터 난... 나쁜 남자로 다시 태어난다.,"['노력', '동안', '오늘', '이상형', '이상']",0
