제목,작가,평점,장르,연령,한줄 스토리,스토리 키워드,학원물
탐구생활3,메가쇼킹,9.79,"옴니버스, 개그",0,"마음 씀씀이가 좁고 간사한 사람을 뜻하는 '소인배'
이 땅의 모든 사랑스런 소인배들에게 바치는 지상 최강 소인배 가족의 적나라한 진상 플레이","['간사', '사랑', '지상', '진상', '최강', '씀씀이', '가족', '마음', '플레이', '소인배']",0
퓨리스틱,유성연,9.94,"옴니버스, 판타지",0,'공상과학' 아닙니다. '망상과학' 입니다. ​<손의 흔적> 유성연 작가가 그려내는 망상과학 단편선,"['망상', '과학', '단편', '성연', '상과', '흔적']",0
네로의 실험실,외눈박이 / 시현,9.95,"옴니버스, 판타지",0,검은 마법사 네로와 태엽장치 아가씨 비올렛타.그들을 둘러싸고 펼쳐지는 기묘하고 환상적인 이야기들.,"['환상적', '태엽', '아가씨', '장치', '기묘', '마법사', '환상', '비올']",0
차원이 다른 ...,요엔,9.95,"옴니버스, 개그",0,그는 뭔가 다르다. 뭐가...? 차원이!,['차원'],0
2013 루키...,웹툰작가,9.81,"옴니버스, 드라마",0,"전설적인 작가 이현세, 이두호가 직접 프로듀싱한7명의 신인 작가 단편선 세번째 시즌!","['전설적', '단편', '신인', '직접', '호가', '전설', '현세', '프로', '시즌', '이두']",0
탐구생활4-그...,메가쑈킹,9.68,"옴니버스, 개그",0,"배려심 제로의 소심쟁이 남편 메가쑈킹만화가와
습관성 울컥증에 최강의 식탐을 지닌 아내 금보. 다시 돌아온 그들의 요절복통 도보하이킹 대장정","['습관성', '배려', '금보', '최강', '소심', '습관', '도보', '아내', '식탐', '제로', '복통', '하이킹', '대장정', '요절', '남편']",0
사노라면,네이버 웹툰 작가,9.77,"옴니버스, 드라마",0,"사노라면 힘든날도 있습니다.하지만 함께 하는 사람들이 있기에 다시 해가 뜰 날을 기대해 봅니다.
서로 기대고 어우러져 힘든 시기를 이겨내는 우리네 사는 이야기","['기대', '시기']",0
고(故)길창덕...,웹툰작가,9.76,"옴니버스, 일상",0,"대한민국 1세대 만화가이자 <꺼벙이>,<순악질여사>,<재동이>등 한국 명랑만화의 효시가 되신 故길창덕 선생님.우리에게 ‘만화의 즐거움’을 선물해 주신 선생님께 네이버 웹툰 작가들이 추모 웹툰을 올립니다.","['선물', '주신', '이자', '여사', '창덕', '악질', '세대', '한국', '꺼벙이', '효시', '만화가', '명랑', '즐거움', '선생님', '추모', '대한민국']",0
천적,꼬마비 / 재수,9.83,"옴니버스, 일상",0,"일반 사람들의 일상 대결이 펼쳐진다 
무규칙 일상 배틀 생중계!","['일반', '일상', '무규칙', '중계', '대결']",0
국가의 탄생,고리타,9.46,"옴니버스, 개그",0,"당신의 꿈이 이루어지는 세상은 축구장만이 아니다!힘들고 지친 자, 지는 해만 보면 눈물이 나는 자, 막힌 변기를 안고 한없이 울어본 적이 있는 자미칠듯이 달려가자, 또 다른 세상 파라다이시움으로!","['축구장', '다이시', '해만', '변기', '눈물', '세상']",0
심부름센터 K,김선권,9.63,"옴니버스, 개그",0,수사9단의 김선권 작가의 신작.특별한 능력을 가진 직원들의 엉뚱하고도 황당한 임무 해결.,"['직원', '능력', '특별', '수사', '임무', '해결']",0
레인보우 로즈,김예린 / 장유라,9.93,"옴니버스, 판타지",0,"간절히 원하면 이루어진다? 
<2012 서울만화스카우트> 당선작 '레인보우 로즈'","['레인', '스카우트', '로즈', '서울', '보우', '당선작']",0
외모지상주의,박태준,9.45,"스토리, 드라마",0,못생기고 뚱뚱하다고 괴롭힘을 당하며  루저 인생만 살아온 내가 잘생겨졌다는 이유로 인싸가 됐다.어느 날 자고 일어났더니 갑자기 완벽한 외모와 몸을 지닌 사람이 되어 깨어난다면?,"['인생', '외모', '내가', '이유', '완벽']",0
고수,류기운 / 문정후,9.97,"스토리, 액션",0,<용비불패> 최강의 콤비가 무협의 전설을 다시 쓰다! 천하제일의 고수 강룡. 그리고 수많은 다른 고수들의 이야기.,"['천하제일', '용비', '최강', '고수', '전설', '강의', '불패', '무협', '콤비']",0
여신강림,야옹이,9.64,"스토리, 로맨스",0,"네웹 대표 글로벌 인기작! 주경, 수호, 서준. 세 청춘의 두근두근 눈호강 로맨스~♡메이크업으로 여신이 된 주경이는 꿈과 사랑을 이룰 수 있을까?","['사랑', '수호', '인기', '메이크업', '호강', '글로벌', '청춘', '주경', '로맨스', '여신', '대표']",0
싸움독학,박태준 / 김정현,9.81,"스토리, 액션",0,힘없고 가진거 하나 없이 맞고만 살던 나였는데...우연히 비밀의 뉴튜브를 발견하게 되고 갑자기 떼돈을 벌었다.,"['발견', '튜브', '떼돈', '비밀']",0
연애혁명,232,9.87,"스토리, 드라마",0,"평범하면서 금사빠인 고등학생 순정남 공주영은 까칠하고 차가운 여학생 왕자림을 보고 사랑에 빠져버린다.너무 다른 둘, 괜찮을까?","['고등학생', '사랑', '평범', '금사', '여학생', '정남', '자림', '공주']",1
더 복서,정지훈,9.94,"스토리, 액션",0,"재능있는 복서를 찾던 전설적인 트레이너 K는 기묘한 소년을 발견한다.그의 충격적인 재능은 과연 축복일까, 저주일까?!","['축복', '충격적', '재능', '전설', '발견', '복서', '소년', '트레이너', '충격', '적인', '저주']",0
프리드로우,전선욱,9.9,"스토리, 드라마",0,한태성을 중심으로 벌어지는 다양한 청춘들의 스펙타클한 학원 시트콤 드라마,"['학원', '태성', '시트콤', '청춘', '중심', '드라마', '스펙타클', '다양']",1
전지적 독자 ...,UMI / 슬리피...,9.95,"스토리, 판타지",0,"'이건 내가 아는 그 전개다'한순간에 세계가 멸망하고, 새로운 세상이 펼쳐졌다.오직 나만이 완주했던 소설 세계에서 평범했던 독자의 새로운 삶이 시작된다.","['세계', '평범', '독자', '전개', '완주', '멸망', '소설', '한순간', '세상']",0
데드퀸,김규삼,9.95,"스토리, 판타지",0,"절망에 빠져 죽음이 임박했을때, 진짜 여왕이 재림한다!하이브 세계관의 장대한 끝, 데드퀸","['진짜', '데드', '이브', '여왕', '재림', '임박', '장대', '죽음', '절망', '세계관']",0
뷰티풀 군바리,설이 / 윤성원,9.82,"스토리, 드라마",0,'여자도 군대에 간다면?'본격 여자도 군대 가는 만화!,"['본격', '군대']",0
호랑이형님,이상규,9.98,"스토리, 액션",0,신비한 힘을 가진 아이를 이용하여 세상을 지배하려는 반인반수 흰눈썹! 그리고 얼떨결에 아이의 보호자가 된 괴물호랑이 빠르와 착호갑사 지망생 가우리!이제 힘을 합쳐 흰눈썹으로부터 아이와 세상을 지켜라!!!,"['지배', '지망', '보호자', '호랑이', '지망생', '갑사', '반인', '이용', '아이', '착호갑사', '반수', '신비', '눈썹', '가우리', '얼떨결', '괴물', '세상']",0
여성전용헬스장...,유기,8.77,"스토리, 스포츠",0,숨쉬기 운동만 해본 직장인의 인생 최초 헬스 PT 도전기!계나리는 저렴한 가격임에도 꽤나 좋은 옥탑방으로 이사오게 된다.그러나 알고 보니 그 방은 아래층 여성 전용 헬스장과 비밀 계단으로 이어져 있었다.헬스장 관장이자 집주인 진달래는 리모델링으로 전세금을 다 써버린 상태.돌려줄 전세금을 모을 동안 계나리에게 3개월간 무료 PT를 제안하는데..!,"['도전', '헬스장', '전용', '헬스', '최초', '관장', '진달래', '리모델링', '이사', '숨쉬기', '동안', '아래층', '운동', '계단', '직장인', '집주인', '전세금', '무료', '전기', '이자', '제안', '인생', '상태', '비밀', '가격', '나리', '장과']",0
갓 오브 하이...,박용제,9.65,"스토리, 액션",0,"전국, 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다.허구 100% 막장 액션의 끝!! 기대하시라!!!","['전국', '고등학생', '기대', '막장', '액션', '허구', '전세계', '대회']",1
관계의 종말,김용키,9.72,"스토리, 스릴러",0,"<타인은 지옥이다> 김용키 작가의 신작!여자친구와 함께 떠난, 비경에 숨겨진 펜션으로의 여름휴가.하지만 불쾌한 펜션 주인을 시작으로 주인공의 트라우마를 끄집어내는 끔찍한 만남들이 이어진다.지옥으로 치닫는 사건과 사고.. 이제 모든 것을 끝낼 때가 왔다.","['친구', '지옥', '주인공', '트라', '비경', '주인', '불쾌', '만남', '여름휴가', '우마', '사고', '타인', '사건']",0
복학왕,기안84,9.15,"스토리, 드라마",0,패션왕 우기명이 돌아왔다!즐거운 대학 생활?! 과연?!,"['패션', '생활', '기명', '대학']",0
바른연애 길잡이,남수,9.97,"스토리, 로맨스",0,매일 다이어리에 세워 둔 계획을 지키며 바른 생활을 실천하는 정바름.하지만 동아리 선배에게 느끼는 연애 감정만큼은 계획처럼 진행되지 않는데...모두의 로망을 충족시켜 줄 설렘 달달 캠퍼스 로맨스!,"['모두', '연애', '동아리', '감정', '로망', '만큼', '충족', '계획', '진행', '다이어리', '캠퍼스', '생활', '실천', '로맨스', '선배']",0
윈드브레이커,조용석,9.87,"스토리, 스포츠",0,혼자서 자전거를 즐겨타던 모범생 조자현.원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!,"['자전거', '모범생', '자유', '라이', '자현', '청춘', '드라마', '크루', '혼자']",0
이두나!,민송아,9.96,"스토리, 로맨스",0,"(구)아이돌, 첫사랑, 소개팅녀까지 한 집에 모였다! <나노리스트> 민송아 작가의 두근두근 누나 리스트!","['누나', '소개팅', '송아', '아이', '첫사랑', '리스트']",0
재혼 황후,알파타르트 / 숨풀,9.97,"스토리, 로맨스",0,동대제국의 완벽한 황후였던 나비에.​황제인 남편이 정부를 황후로 만들려는 것을 알고 이혼을 택한다. 그리고 결심한다.이곳에서 황후가 될 수 없다면 다른 곳에서 황후가 되겠다고.인기 웹소설 <재혼 황후>가 웹툰화되다!,"['대제국', '황제', '이혼', '인기', '나비', '소설', '결심', '황후', '완벽', '남편', '정부']",0
바이러스X,준 / 하랑,8.99,"스토리, 스릴러",0,인류를 위협하는 사망률 100%의 바이러스.,"['위협', '바이러스', '인류', '사망률']",0
취사병 전설이...,제이로빈 / 이진수,9.96,"스토리, 판타지",0,"대한민국 대표 흙수저, 강성재. 불안하기만 한 군생활에 한줄기 빛처럼 다가온 전설의 취사병이 될 기회!","['취사병', '취사', '생활', '한줄기', '대한민국', '전설', '불안', '수저', '성재', '대표', '기회']",0
백수세끼,치즈,9.87,"스토리, 드라마",0,백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!,"['연애', '시절', '음식', '백수', '역사', '메뉴']",0
소녀의 세계,모랑지,9.97,"스토리, 드라마",0,완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물,"['진짜', '친구', '오리', '맘씨', '우정', '소녀', '갈등', '사실', '완벽', '백조']",0
참교육,채용택 / 한가람,9.55,"스토리, 액션",0,무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!<부활남> 채용택 작가 X <신석기녀> 한가람 작가의 신작!,"['채용', '한가람', '보호국', '교권', '교육', '부활', '신석기', '진의', '소속', '나화', '참교육']",0
열렙전사,김세훈,9.95,"스토리, 판타지",0,"'퀘스트를 클리어 하는 자, 모든 것을 얻을 것이다'현실 밖의 현실, 루시드 어드벤쳐 최강의 용사 '열렙전사'와 동료들이 벌이는 본격 RPG 어드벤쳐.","['동료', '전사', '현실', '클리어', '최강', '시드', '용사', '본격']",0
랜덤채팅의 그...,박은혁,9.71,"스토리, 드라마",0,랜덤채팅만 하던 준우에게 온 기적!과연 그녀(들)에게 다가갈수 있을까?!(읽다 보면 원픽 캐릭터 무조건 생김ㅇㅇ),"['기적', '캐릭터', '랜덤', '채팅', '준우']",0
비질란테,CRG / 김규삼,9.98,"스토리, 액션",0,법은 구멍이 나 있다. 내가 그 구멍을 메운다. 널 풀어준 법을 원망해라.,"['원망', '구멍']",0
하루만 네가 ...,삼,9.98,"스토리, 판타지",0,"'완벽한 인생이었다, 그 애가 나타나기 전까지는'반전에 반전을 거듭하는 치밀한 궁중 서스펜스네이버웹툰 최강자전 19년 대표작.","['완벽', '인생', '대표작', '최강', '최강자', '서스펜스', '궁중', '반전']",0
격기3반,이학,9.65,"스토리, 스포츠",0,"한국이 세계 격투기의 중심이 된 세상. 전국 탑 클래스 격투기 학생들만 모인 남일고에 약골 소년 주지태가 돌연 투입된다.신체적 약점이 상쇄되는 무술 ‘주짓수’를 통해, 주지태는 격기반의 정점에 오를 수 있을 것인가…?","['전국', '정점', '모인', '신체적', '약골', '클래스', '주지', '상쇄', '일고', '무술', '투입', '중심', '기반', '한국', '약점', '소년', '세계', '학생', '격투기', '세상']",0
간 떨어지는 ...,나,9.97,"스토리, 로맨스",0,인간이 되고자 900년간 노력해왔지만  불의의 사고로 한 여대생에게 여우구슬을 빼앗기게 된 (잘생긴) 구미호 어르신.어르신은 사태를 해결하기 위해 그녀에게 동거를 제안하게 되는데...,"['불의', '여대생', '구미호', '제안', '노력', '어르신', '동거', '구슬', '여우', '사고', '여대', '사태', '해결']",0
