idx,name,score,writer,age_limit,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,keywords
39,힘내요 일본!-[릴레이웹툰],6.99,웹툰작가,0,1,0,0,1,0,0,0,0,0,0,0,0,"['남매', '주변', '유체', '이탈', '다양', '정주', '독특', '인물', '에피소드', '예방', '본격', '프로젝트', '정신']"
40,수능일기,9.98,자까,0,1,0,0,1,0,0,0,0,0,0,0,0,"['행복', '처절', '기억', '대학']"
41,역전! 야매요리,9.83,정다정,0,1,0,0,1,0,0,0,0,0,0,0,0,"['포토', '도전', '요리', '실패', '전기']"
42,놓지마 정신줄 시즌2,9.95,신태훈,0,1,0,0,0,0,0,1,0,0,0,0,1,"['학교', '재벌', '권력', '세가', '고등학교', '건우', '일반', '난무', '싸움', '천재', '전학', '선생', '자본', '차지', '법칙', '굴복', '학생', '거대', '두뇌']"
43,세상은 돈과 권력,9.89,한동우,0,1,0,0,1,0,0,0,0,0,0,0,0,"['남매', '이제', '주변', '유체', '이탈', '다양', '정주', '독특', '인물', '에피소드', '예방', '본격', '프로젝트', '정신']"
44,밥 먹고 갈래요?,9.97,오묘,0,1,0,0,0,0,0,0,1,0,0,0,0,"['타임', '오묘', '주말', '주중', '지친']"
45,와탕카,9.63,우주인,0,1,0,1,0,0,0,0,0,0,0,0,0,[]
46,돼지만화,4.56,돼지작가,0,1,0,0,1,0,0,0,0,0,0,0,0,"['모두', '우주인', '센스', '유머', '단어', '지화자']"
47,웅이는 배고파,9.73,박웅,0,1,0,0,1,0,0,0,0,0,0,0,0,"['친구', '무엇', '라이프', '가스', '낙천', '말초적', '낙천적', '좌충우돌', '우유부단', '인류', '얼간이']"
48,선천적 얼간이들,9.98,가스파드,0,1,0,1,0,0,0,0,0,0,0,0,0,"['주의', '돼지', '일상', '동네']"
49,낢이 사는 이야기,9.81,서나래,0,1,0,1,0,0,0,0,0,0,0,0,0,"['소한', '혼란', '인생', '계속', '오늘', '사생활', '도가니']"
50,골방환상곡,9.92,워니,0,1,0,1,0,0,0,0,0,0,0,0,0,"['친구', '도전', '늑대', '센스', '골방', '환상곡', '스토리', '오픈', '공감', '리얼', '절대', '전격']"
51,공감.jpg,4.43,임총,0,1,0,0,1,0,0,0,0,0,0,0,0,"['공감', '반박', '불가']"
52,2019 루키 단편선-지옥캠프,9.88,웹툰작가,0,1,0,0,0,0,0,1,0,0,0,0,0,"['캠프', '지옥', '단편', '직접', '전설', '슈퍼', '현세', '데뷔', '프로', '이두']"
53,오빠 왔다,9.7,모나,0,1,0,1,0,0,0,0,0,0,0,0,0,"['패밀리', '형제', '막내딸', '가족', '만화가', '육아', '결혼', '사이즈', '규모', '부부']"
54,생활의참견,9.95,김양수,0,1,0,1,0,0,0,0,0,0,0,0,0,"['장애인', '청각', '대한민국']"
55,나는 귀머거리다,9.98,라일라,0,1,0,0,0,0,0,1,0,0,0,0,0,"['환경', '행성', '정착', '시마', '인류']"
56,플라워(FLOWAR),9.93,홍작가,0,1,0,0,1,0,0,0,0,0,0,0,0,"['오빠', '리얼', '영화', '드라마', '남매']"
57,패밀리 사이즈,9.96,남지은,0,1,0,0,0,0,0,0,0,1,0,0,0,"['단편', '공포', '대일', '연출력', '결과', '예측', '이색적', '이색', '다양']"
58,터치! 메리크리스마스,9.78,웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['일상', '생활', '유머', '발견', '추억', '웃음']"
59,203호 저승사자,9.91,샤니,0,1,0,1,0,0,0,0,0,0,0,0,0,"['자취', '방구석', '개념']"
60,공포단편선X,9.71,김대일,0,1,0,0,1,0,0,0,0,0,0,0,0,"['저승사자', '정신']"
61,달콤한 인생,9.95,이동건,0,1,0,1,0,0,0,0,0,0,0,0,0,"['요즘', '단편', '크리스마스', '만점', '근황', '무엇']"
62,자취로운 생활,9.96,츄카피,0,1,0,1,0,0,0,0,0,0,0,0,0,"['직장인', '거지', '커플', '싱글', '백수', '에피소드']"
63,와라! 편의점,9.85,지강민,0,1,0,0,1,0,0,0,0,0,0,0,0,"['편의', '점도', '에피소드', '본격', '동네', '피해', '편의점']"
64,가우스전자 시즌3~4,9.97,곽백수,0,1,0,0,0,0,0,0,0,1,0,0,0,"['규석', '기적', '지옥', '현상', '감독', '초자연', '현실', '감당', '송곳', '저주', '부산', '직면', '상호']"
65,아랫집 시누이,9.95,김진,0,1,0,0,1,0,0,0,0,0,0,0,0,"['전자', '직장인', '현실', '다국적', '문어발', '기업', '가우스']"
66,지옥,9.77,연상호,0,1,0,1,0,0,0,0,0,0,0,0,0,"['이제', '고부', '갈등']"
67,스퍼맨: 현자단의 역습,9.95,하일권,0,1,0,0,0,0,0,1,0,0,0,0,0,['현자']
68,2019 병영일기,9.83,웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['소시', '이후', '패스', '사이코', '수술', '중성화', '사수', '고양이']"
69,Penguin loves Mev,9.96,펭귄,0,1,0,0,1,0,0,0,0,0,0,0,0,"['입대', '점호', '지옥', '주인공', '아침', '생활', '방출', '기상', '저녁', '나팔']"
70,트라우마,9.92,곽백수,0,1,0,1,0,0,0,0,0,0,0,0,0,"['스토리', '한국', '펭귄과', '러브', '영국', '시즌']"
71,모두에게 완자가,9.71,완자,0,1,0,1,0,0,0,0,0,0,0,0,0,"['오기', '모두', '완자', '일상', '자가', '사랑', '그날']"
72,오늘도 형제는 평화롭다,9.97,GIMS,0,1,0,0,1,0,0,0,0,0,0,0,0,"['사건', '중심', '형제']"
73,혈액형에 관한 간단한 고찰,9.89,박동선,0,1,0,0,1,0,0,0,0,0,0,0,0,"['초특급', '정신', '정신적', '펀치', '코믹', '외상', '반전', '특급', '확인']"
74,사소한 냐냐,9.86,LICO,0,1,0,1,0,0,0,0,0,0,0,0,0,"['분석력', '혈액형', '자유분방', '하면서', '에피소드', '섬세', '좌충우돌', '우유부단']"
75,오늘 밤은 어둠이 무서워요,9.96,김진,0,1,0,0,1,0,0,0,0,0,0,0,0,"['여탕', '세계', '자가', '공간', '신비', '금남', '가본', '진실']"
76,여탕보고서,9.95,마일로,0,1,0,1,0,0,0,0,0,0,0,0,0,"['연애', '독립', '독립생활', '생활', '시기', '자취']"
77,살인자o난감,9.97,꼬마비,0,1,0,0,0,1,0,0,0,0,0,0,0,"['망상', '능력자', '야한', '능력', '염력', '가능']"
78,스퍼맨 시즌2,9.97,하일권,0,1,0,0,0,0,0,0,1,0,0,0,0,"['파견', '북숭이', '정예', '라이프', '명령', '에이스', '개고', '국가', '요원', '계의', '고생', '파란만장', '마법', '세상']"
79,2D남친 별책부록,9.82,웹툰작가,0,1,0,0,0,0,0,0,0,0,0,0,0,"['고양이', '연애', '컴백', '처음', '계획', '강남', '아기', '기념', '회색', '외전', '섹시', '커플', '미인', '특별', '드라마', '여행']"
80,우리집에 곰이 이사왔다,9.97,켄타,0,1,0,0,0,0,0,0,0,1,0,0,0,"['수록', '반전', '혼란', '독자']"
81,슈퍼 시크릿,9.98,이온,0,1,0,0,0,0,0,0,0,0,0,0,0,"['주인공', '인기', '방출', '에피소드', '로맨스', '공개']"
82,내 ID는 강남미인! - 둘만의 시간,9.96,기맹기,0,1,0,0,0,0,0,0,0,0,0,0,0,"['여대생', '친구', '술래잡기', '견우', '비밀', '이웃집', '여대', '조금', '특별', '소꿉']"
83,실질객관동화,9.9,무적핑크,0,1,0,0,1,0,0,0,0,0,0,0,0,"['생소', '시각', '객관', '객관적', '동화']"
84,스마트폰 게임 개발 이야기,9.74,유영욱,0,1,0,1,0,0,0,0,0,0,0,0,0,"['게임', '현장', '좌충우돌', '개발']"
85,빙탕후루,9.96,장희,0,1,0,0,0,0,0,1,0,0,0,0,0,"['수상작', '최강자', '대학', '고찰', '어색', '옆방']"
86,와탕카2,8.99,우주인,0,1,0,0,0,0,0,0,1,0,0,0,1,"['학교', '세계', '사랑', '신입', '주인', '교육', '동물', '걱정', '환생', '선생님', '습성', '적응']"
87,썸남,9.97,배철완,0,1,0,0,0,0,0,0,0,0,0,0,0,"['지구인', '사랑', '직녀', '온달', '시집', '매일', '만들기', '철부지', '원수', '원수지간', '게임', '밤새', '천상계', '철벽', '공주', '야밤', '지간', '가정부', '도주', '나이트', '주한', '선언', '온라인', '상제']"
88,소년들은 무엇을 하고 있을까,9.41,컷부,0,1,0,0,0,1,0,0,0,0,0,0,0,"['요괴', '잔인', '중국', '주호', '여정', '현세', '환상', '퇴치', '자비', '송나라']"
89,환생동물학교,9.99,엘렌 심,0,1,0,0,1,0,0,0,0,0,0,0,0,"['우주인', '센스', '작화', '유머', '업그레이드', '시즌']"
90,낢 부럽지 않은 신혼여행기,9.97,서나래,0,1,0,0,1,0,0,0,0,0,0,0,0,"['소년', '다양']"
91,일상날개짓,9.94,나유진,0,1,0,0,1,0,0,0,0,0,0,0,0,['주제']
92,식스센스,9.23,릴레이연재,0,1,0,1,0,0,0,0,0,0,0,0,0,"['일상', '사랑', '성장', '스토리', '아기', '날개', '싱글', '아들', '시즌']"
93,갸오오와 사랑꾼들,9.94,갸오오,0,1,0,0,0,0,0,0,0,0,0,1,0,"['축구', '조석', '해외']"
94,조석축구만화,9.81,조석,0,1,0,0,1,0,0,0,0,0,0,0,0,"['친구', '일상', '도전', '사랑', '절대', '퇴짜', '차이', '좌충우돌', '전기']"
95,선녀님은 휴가중,9.25,으늬,0,1,0,0,0,0,1,0,0,0,0,0,0,"['고등학생', '불량', '급식', '참뜻', '빙의', '훈민정음', '반포', '정이', '조선', '시대', '세기', '난무', '세종']"
96,일진에게 회초리,9.95,유승연,0,1,0,0,1,0,0,0,0,0,0,0,0,"['푸들', '일상', '독거', '이상']"
97,푸들과 Dog거중,9.98,최삡뺩,0,1,0,0,0,0,0,0,0,1,0,0,0,"['빨간책', '수록', '생각']"
98,빨간책,9.78,랑또,0,1,0,1,0,0,0,0,0,0,0,0,0,"['나래', '신혼', '여행기', '유럽']"
99,열대어,9.94,실버벨,0,1,0,0,1,0,0,0,0,0,0,0,0,"['공감', '생선', '감투']"
100,백귀야행지,9.88,아만(阿慢),0,1,0,0,1,0,0,0,0,0,0,0,0,"['라인', '도깨비', '버전', '소름', '글로벌', '연재', '동시', '한국어', '감상', '웃음']"
101,언럭키 맨션,9.98,약국,0,1,0,0,0,0,0,1,0,0,0,0,0,"['맨션', '라이프', '동거']"
102,텍사스홀덤,9.87,onesound,0,1,0,0,0,0,0,0,1,0,0,0,0,"['미식', '가슴']"
103,네이버 앱피소드,9.63,웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['승부', '세계', '사의']"
104,만렙소녀 오오라,9.47,김규삼,0,1,0,0,1,0,0,0,0,0,0,0,0,"['모험', '오라', '화지']"
105,모던패밀리 2,9.68,외눈박이,0,1,0,0,1,0,0,0,0,0,0,0,0,"['분투', '가정', '가족', '행복', '수상', '고군', '고군분투', '시즌']"
106,와라편의점 the animation,9.76,와라패밀리,0,1,0,0,1,0,0,0,0,0,0,0,0,"['릴레이', '출동', '인기']"
107,판다독,9.84,판다독,0,1,0,0,0,0,0,0,0,0,0,0,0,"['교사', '부인', '보육', '스타인', '스타', '미혼', '남편', '한류', '계약', '고액', '하늘', '진단', '사실', '결혼', '제안', '상태', '제시', '불안', '세상']"
108,보글보글,9.91,요나,0,1,0,0,1,0,0,0,0,0,0,0,0,"['메이', '편의', '점도', '에피소드', '컨텐츠', '동네', '피해', '편의점', '다양']"
109,스쿨홀릭,9.89,신의철,0,1,0,1,0,0,0,0,0,0,0,0,0,"['여동생', '왕자', '회사', '캐릭터', '디자이너', '스토리', '생활', '독이', '판다', '리얼', '사회', '취업', '엄마', '좌충우돌', '피그', '펭귄']"
110,엔드리스,9.96,윤준식,0,1,0,0,0,0,0,1,0,0,0,0,0,['사랑']
111,3인칭,9.94,꼬마비,0,1,0,0,0,0,0,0,0,1,0,0,0,"['진짜', '현실', '미래', '가상현실', '가짜', '머지', '본질', '구분', '혼재', '존재', '가치', '세상']"
112,2016 학교 다녀오겠습니다,9.41,웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['단편', '신학기', '준비', '개그']"
113,데우스 엑스 마키나,9.93,꼬마비,0,1,0,0,1,0,0,0,0,0,0,0,1,"['학교', '일상', '학생', '스쿨', '중독', '선생', '대한민국']"
114,부토,9.92,정현주,0,1,0,0,0,0,0,1,0,0,0,0,0,[]
115,메이크 업 드림 - Make Up Dream,7.12,김계란 X 네이버...,0,1,0,1,0,0,0,0,0,0,0,0,0,"['그린', '반려', '서로', '시점', '동물']"
116,세상과 하늘 사이,8.96,우기리,0,1,0,0,0,0,0,1,0,0,0,0,0,"['기록', '시간']"
117,구석구석캠페인,9.21,네이버 웹툰 작가,0,1,0,0,1,0,0,0,0,0,0,0,0,"['청년', '고민', '취업', '인의', '조석', '웃음']"
118,내 어린고양이와 늙은개,9.91,초,0,1,0,1,0,0,0,0,0,0,0,0,0,"['트럼프', '결투', '얘기', '승리', '비밀', '수련', '출생', '현주']"
119,취업의소리,9.16,"조석,워니",0,1,0,0,0,0,0,1,0,0,0,0,0,"['계란', '부작', '메이크업', '실전', '에피소드', '가이드', '지금', '특집']"
120,27-10,9.93,AJS,0,1,0,1,0,0,0,0,0,0,0,0,0,"['여행', '주말', '구석구석', '대한민국']"
121,부부생활,9.94,써니사이드업,0,1,0,0,0,0,0,0,1,0,0,0,0,"['그림', '골방', '일편단심', '침묵', '환상곡']"
122,한국만화거장전 : 만화보물섬,9.88,한국만화가협회,0,1,0,0,1,0,0,0,0,0,0,0,0,"['어로', '신토불이', '등장']"
123,갓!김치,7.38,김민우,0,1,0,0,0,0,0,1,0,0,0,0,0,"['꽃길', '성공', '취업', '관문', '함정']"
124,일편단심화,9.79,심윤수,0,1,0,0,1,0,0,0,0,0,0,0,0,"['어로', '시선', '실질적', '영화', '객관', '실질', '객관적']"
125,아프니까 병원이다,9.89,고리타,0,1,0,1,0,0,0,0,0,0,0,0,0,"['단편집', '제안']"
126,실질객관영화,9.73,무적핑크,0,1,0,1,0,0,0,0,0,0,0,0,0,"['허락', '오빠', '마찬가지', '누나']"
