제목,작가,평점,장르,연령,한줄 스토리,스토리 키워드,학원물
오민혁 단편선,오민혁,9.97,"옴니버스, 드라마",0,"한 명의 젊은 작가가 그리는, 때로는 기발하고 때로는 따뜻한 세계!
짧지만 그래서 더욱 긴 여운","['세계', '여운', '명의']",0
DEY 호러채널,DEY,9.95,"옴니버스, 스릴러",0,[데드데이즈] DEY작가의 새로운 공포 단편선기발하고 소름 돋는 무서운 이야기들로 만들어 낸 실험적인 옴니버스 공포웹툰.효과툰을 활용한 절묘한 연출로 다채로운 공포를 보여준다.,"['데드', '효과', '이즈', '실험적', '옴니버스', '선기', '실험', '소름', '연출', '버스', '단편', '공포', '활용']",0
삼국전투기,최훈,9.37,"옴니버스, 개그",0,"삼국의 에이스가 선보이는 피튀기는 한판 승부! 삼국지의 맥을 잇는, 패러디 대마왕 최훈 작가의 이색 삼국 전투기!!","['한판', '승부', '삼국', '마왕', '전투기', '삼국지', '에이스', '패러디', '이색']",0
2015 사이,웹툰작가,9.88,"옴니버스, 로맨스",0,"2015 로맨스 콜라보 특집. ""그때 네 마음은 뭐였니?""우리 둘 사이만큼 궁금한 너의 이야기","['그때', '특집', '로맨스', '마음', '콜라']",0
2017 사이다를 부탁해!,웹툰작가,9.78,"옴니버스, 일상",0,고구마 10000개를 삼킨 것 같은 실제 사연을독자들로부터 직접 받아서 네이버 웹툰 작가들이 새롭게 들려드립니다!,"['사연', '실제', '독자', '고구마']",0
2012 지구가 멸망한다면?,웹툰작가,9.26,"옴니버스, 판타지",0,"2011년을 뜨겁게 달군 '미스테리 단편'을 잇는 2012년 특집 웹툰, <2012 지구가 멸망한다면?>지구 멸망을 소재로 네이버 웹툰 작가들이 선보이는 다양한 이야기들.","['테리', '미스', '특집', '다양', '소재', '멸망', '단편', '지구']",0
자율공상축구탐구만화,조석,9.27,"옴니버스, 스포츠",0,"월드컵, 유럽리그, 국내리그 등 축구라면 가리지 않고 모두 그려보는 자율축구탐구만화!
(본 만화는 네이버스포츠의 2010 남아공 월드컵 특집 페이지에서 제공받는 컨텐츠입니다.)","['축구', '유럽', '국내', '자율', '월드컵', '특집', '페이지', '컨텐츠', '제공', '스포츠', '탐구', '리그']",0
2018 루키 단편선-지옥캠프,웹툰작가,9.89,"옴니버스, 드라마",0,"전설 이현세, 이두호 작가가 직접 프로듀싱한지옥캠프 단편선 여덟번째 시즌!","['시즌', '이두', '직접', '현세', '지옥', '캠프', '전설', '단편', '프로']",0
2015 루키 단편선-지옥캠프,웹툰작가,9.92,"옴니버스, 드라마",0,"전설 이현세, 이두호가 직접 프로듀싱한 신인 작가 단편선 시즌5!무시무시한 신인들이 몰려온다!","['시즌', '프로', '이두', '직접', '현세', '신인', '전설', '단편', '호가']",0
2016 비명,웹툰작가,9.14,"옴니버스, 스릴러",0,2016 여름특집 공포 단편선. 비명소리를 내지 않을 자신이 있다면 스크롤을 내려라.,"['여름', '특집', '소리', '스크롤', '단편', '공포', '비명']",0
공부하기 좋은 날,황준호,9.84,"옴니버스, 스릴러",0,"죽거나 혹은 공부해야하는 우리 학생들.
그들에게 벌어지는 조금은 무서운 이야기.","['학생', '조금', '공부']",0
2017 멋진 신세계,웹툰작가,9.93,"옴니버스, 스릴러",0,지배할 것인가 지배당할 것인가!당신 앞에 다가온 충격적인 미래.2017 네이버 웹툰작가 IT 디스토피아 특집 단편선.,"['지배', '미래', '피아', '특집', '충격적', '단편', '충격']",0
호랭총각,강호진,9.9,"옴니버스, 개그",0,"매일 아침 씨리얼 한 사발로 하루 끼니를 때우는 가난한 나무꾼 호랭총각.배고프지 않고, 외롭지 않은 삶을 꿈꾸는 선량한 호랭총각과 토마호크 대신 연못에서 솟아난 덩치큰 친구와 함께하는 이상한 이야기.","['친구', '나무꾼', '씨리얼', '선량', '이상', '덩치', '끼니', '대신', '가난', '총각', '아침', '연못', '호크', '사발', '하루']",0
귀전구담,QTT,9.98,"옴니버스, 스릴러",0,사람들은 모여 무서운 이야기라며 귀신이야기를 한다.귀신들은 모여 귀신보다 더 무섭고 섬뜩한 사람들의 이야기를 한다.,['귀신'],0
남기한엘리트만들기,미티,9.94,"옴니버스, 드라마",0,"스물 일곱살, 공무원 시험 준비생 남기한! 어느 날 눈을 떠보니 16년전의 과거로 돌아가 초딩이 되었다!. 
누구나 한번쯤 꿈꿔보는인생 다시 살기 프로젝트. 남기한 엘리트 만들기","['프로젝트', '살기', '과거', '준비', '기한', '인생', '남기', '엘리트', '시험', '공무원', '한번쯤']",0
놓정동화,신태훈 / 나승훈,9.93,"옴니버스, 개그",0,"여러분의 정신줄을 다시 한 번 놓게 할
새로운 동화가 시작된다!","['정신', '동화']",0
2017 루키 단편선-지옥캠프,웹툰작가,9.88,"옴니버스, 드라마",0,"전설 이현세, 이두호 작가가 직접 프로듀싱한지옥캠프 단편선 일곱번째 시즌!","['시즌', '이두', '직접', '현세', '지옥', '캠프', '전설', '단편', '프로']",0
사랑in,전세훈,9.51,"옴니버스, 로맨스",0,전세훈의 감성터치-사랑in우리들의 이야기가 수채화 물감처럼 잔잔한 감동으로. 잃어버린 추억과 설렘을 전해드립니다.,"['수채화', '사랑', '추억', '터치', '물감', '감성', '전세', '감동']",0
구름의 노래,호랑,9.88,"옴니버스, 드라마",0,"삶을 풍요롭게 하는 음악 
밴드를 통해 삶으로부터 탈출하고자 하는 그들.노래를 통해 성장하고, 행복을 찾아간다.","['밴드', '행복', '풍요', '노래', '탈출', '음악', '성장']",0
차차차,한나,9.94,"옴니버스, 드라마",0,"감성웹툰 <묵회> 한나 작가의 신작!

한가한 신생 찻집 '고운 다실'에서 일어나는 따뜻하고 소소한 이야기들",[' '],0
천리마 네버다이,김규삼,9.96,"옴니버스, 개그",0,<쌉니다 천리마마트> 드라마화 기념 특별외전반가운 천리마 마트 멤버들의 새로운 이야기!,"['마트', '전반', '천리마', '가운', '멤버', '특별', '기념', '드라마']",0
타투,노지현,9.19,"옴니버스, 드라마",0,"밝고 쾌활한 여고생 현진과 새로 오픈한 타투 가게의 진우, 유기를 중심으로 벌어지는 옴니버스!! 타투를 하러 오는 사람들에게 신비한 일이 일어나는데...과연 어떤일이 벌어질까요?","['여고생', '가게', '오픈', '옴니버스', '신비', '버스', '유기', '중심']",1
리얼주주,손태규,9.87,"옴니버스, 개그",0,"12지전사의 작가 손태규의 웹툰 데뷔작
리얼(?)한 동물원 리얼주주에서 벌어지는 아기자기한 이야기. 리얼주주로 놀러오세요.","['동물원', '사의', '리얼', '주주', '지전', '규의', '데뷔작']",0
호러전파상,봄소희 / 김선희,9.74,"옴니버스, 판타지",0,"""명심하세요. 전자기기로 인한 피해는 이 가게에서 책임지지 않습니다.""정체불명 전파상 주인 '야크'의 미스터리 호러","['정체', '야크', '가게', '미스터리', '불명', '피해', '명심', '전자기기', '주인', '전파']",0
아이들의 권 선생님,호우,9.95,"옴니버스, 드라마",0,아이들의 히어로! 조폭 선생님과 다섯 꼬마들의 소소한 학교 일상 이야기.,"['선생님', '소한', '일상', '조폭', '아이', '꼬마', '히어로', '학교', '다섯']",1
2015 우주특집 단편,웹툰작가,9.54,"옴니버스, 판타지",0,광활한 우주를 배경으로 펼쳐지는 무한한 상상력네이버 웹툰 작가들이 선보이는 스페이스 오페라,"['상상력', '오페라', '우주', '스페이스', '배경', '무한']",0
우바우,잇선,9.97,"옴니버스, 일상",0,우리가 바라는 우리.시궁창 같은 삶이라도 바라는 건 많아.,['시궁'],0
가령의 정체불명 이야기,가령,9.95,"옴니버스, 드라마",0,어느 날... 인어가 내게 말을 걸어왔다. 눈을 떠보니 총구가 있었다. 그리고 몸이 연기처럼 사라지기 시작했다. 판타지보다 비현실적인 우리의 회색빛 이야기.,"['총구', '현실', '연기', '어가', '비현', '실적', '판타지', '회색빛']",0
고고루키루,한경찰,9.96,"옴니버스, 드라마",0,"정체불명의 3인조, 천진난만 켄, 카리스마 선녀, 쉬크노노
루키루가 만들어내는 황당무계하지만 따뜻한 이야기들. 지금부터 루키루와 함께 고고","['지금', '천진난만', '정체불명', '루가', '선녀', '불명', '카리스마', '인조']",0
2012 루키 단편선-지옥캠프,웹툰작가,9.49,"옴니버스, 드라마",0,"전설적인 작가 이현세, 이두호가 직접 프로듀싱한8명의 신인 작가 단편선 시즌2로 컴백!","['시즌', '프로', '이두', '직접', '현세', '전설적', '컴백', '신인', '전설', '단편', '호가']",0
카라멜마끼아또,김명현,9.9,"옴니버스, 로맨스",0,"달콤한 커피처럼
은은하고, 포근한 사랑. 그 속에 스며들은 우리들의 이야기","['사랑', '커피']",0
2016 루키 단편선-지옥캠프,웹툰작가,9.94,"옴니버스, 드라마",0,"전설 이현세, 이두호 작가가 직접 프로듀싱한 신인 작가 단편선그 여섯번째 시즌!","['시즌', '이두', '직접', '현세', '신인', '전설', '단편', '프로']",0
킬러 김빵빵,김레옹,9.82,"옴니버스, 개그",0,사악한 킬러 김빵빵으로부터 위협받는 시민들너도 예외는 아니다!,"['킬러', '시민', '예외', '사악', '위협']",0
핑크레이디 클래식,"연우, 서나",9.91,"옴니버스, 드라마",0,"핑크레이디의 그와 그녀가 돌아오다. 
겨울이와 현석이가 함께 떠나는 뒤죽박죽 미술사여행기","['핑크', '뒤죽박죽', '미술사', '레이디', '겨울', '여행기', '석이']",0
귀도,주동근,9.91,"옴니버스, 스릴러",0,귀신 본 적 있니?이제 내가 본 걸 얘기해줄게...,"['내가', '이제', '귀신', '얘기']",0
2014 루키 단편선-지옥캠프,웹툰작가,9.9,"옴니버스, 드라마",0,"전설적인 작가 이현세, 이두호가 직접 프로듀싱한신인 작가 단편선 네번째 시즌!","['시즌', '프로', '이두', '직접', '현세', '전설적', '전설', '신인', '단편', '호가']",0
한국만화거장전,한국만화가협회,9.9,"옴니버스, 일상",0,"한국만화의 전설을 만나다오늘날 한국만화를 있게 한 거장들이 들려주는 새로운 이야기,이제 웹툰으로 만나보세요!","['이제', '전설', '오늘날', '한국', '거장']",0
12차원 소년들,컷부,9.89,"옴니버스, 개그",0,소무하보다 더 강해진 녀석들이 돌아왔다. 차원을 넘나드는 소년들의 다양한 이야기,"['녀석', '차원', '다양', '소년']",0
웨스트우드 비브라토,윤인완 / 김선희,9.92,"옴니버스, 드라마",0,"어떤 악기든, 원하는 선율을 찾아주는 남아프리카의 천재 악기 수리공 코넬리아 보보 워셔.
'아일랜드','신암행어사' 윤인완 작가와 '바둑 삼국지' 김선희 작가가 선보이는 음악과 드라마.","['암행', '천재', '악기', '선율', '어사', '바둑', '삼국지', '음악', '아프리카', '수리공', '아일랜드', '드라마']",0
연,구아진,9.78,"옴니버스, 스릴러",0,"구아바 작가의 옴니버스 스릴러 ‘연’오늘, 지금, 당신에게도 일어날 수 있는 일들.","['지금', '구아', '옴니버스', '스릴러', '버스', '오늘']",0
내일은 럭키곰스타,김풍,9.52,"옴니버스, 개그",0,"삼류라 불리는 인형이지만, 인간보다 더 인간적인 그들이 펼치는 배꼽빠지게 슬픈이야기","['삼류', '인간적', '배꼽', '인형']",0
차원이 다른 만화,요엔,9.95,"옴니버스, 개그",0,그는 뭔가 다르다. 뭐가...? 차원이!,['차원'],0
색으로 말하다,요한 / 김혜진,9.9,"옴니버스, 드라마",0,"나주시 천연염색문화관을 중심으로노란 치자빛으로 행복을, 붉은 홍화빛으로 열정을, 파란 쪽빛으로 조화를 이야기하다","['홍화', '행복', '열정', '쪽빛', '문화', '조화', '천연', '치자', '중심', '염색']",0
네로의 실험실,외눈박이 / 시현,9.95,"옴니버스, 판타지",0,검은 마법사 네로와 태엽장치 아가씨 비올렛타.그들을 둘러싸고 펼쳐지는 기묘하고 환상적인 이야기들.,"['장치', '아가씨', '비올', '기묘', '태엽', '환상', '마법사', '환상적']",0
소곤소곤,옛사람,9.97,"옴니버스, 스릴러",0,당신의 귓가에 속삭일 기묘한 이야기,['귓가'],0
수사9단,김선권,9.9,"옴니버스, 스릴러",0,"자칭 수사9단 홍달기 반장과 형편없는 정보에 정통한 정보통 형사,그리고 고집불통 강호진과 조양이 함께하는 황당수사일지.당황스러운 사건을 황당하게 해결해 버립니다.","['조양', '정통', '사건', '반장', '달기', '해결', '불통', '진과', '형사', '정보', '수사', '정보통', '강호', '당황', '자칭', '고집']",0
S라인,"꼬마비,앙마비",9.85,"옴니버스, 판타지",0,"가까운 미래, 사람들의 머리 위로 붉은 선이 이어진다.선의 정체는 무엇인가? 시간이 지나고 사람들은 붉은 선을S라인이라 부르기 시작한다.","['미래', '정체', '머리', '라인', '시간']",0
퓨리스틱,유성연,9.94,"옴니버스, 판타지",0,'공상과학' 아닙니다. '망상과학' 입니다. ​<손의 흔적> 유성연 작가가 그려내는 망상과학 단편선,"['망상', '성연', '흔적', '과학', '상과', '단편']",0
탐구생활3,메가쇼킹,9.79,"옴니버스, 개그",0,"마음 씀씀이가 좁고 간사한 사람을 뜻하는 '소인배'
이 땅의 모든 사랑스런 소인배들에게 바치는 지상 최강 소인배 가족의 적나라한 진상 플레이","['지상', '씀씀이', '사랑', '최강', '소인배', '플레이', '마음', '진상', '간사', '가족']",0
2013 루키 단편선-지옥캠프,웹툰작가,9.81,"옴니버스, 드라마",0,"전설적인 작가 이현세, 이두호가 직접 프로듀싱한7명의 신인 작가 단편선 세번째 시즌!","['시즌', '프로', '이두', '직접', '현세', '전설적', '신인', '전설', '단편', '호가']",0
탐구생활4-그대와 함께 하이킹,메가쑈킹,9.68,"옴니버스, 개그",0,"배려심 제로의 소심쟁이 남편 메가쑈킹만화가와
습관성 울컥증에 최강의 식탐을 지닌 아내 금보. 다시 돌아온 그들의 요절복통 도보하이킹 대장정","['습관', '도보', '최강', '배려', '식탐', '제로', '아내', '요절', '대장정', '남편', '소심', '복통', '하이킹', '습관성', '금보']",0
사노라면,네이버 웹툰 작가,9.77,"옴니버스, 드라마",0,"사노라면 힘든날도 있습니다.하지만 함께 하는 사람들이 있기에 다시 해가 뜰 날을 기대해 봅니다.
서로 기대고 어우러져 힘든 시기를 이겨내는 우리네 사는 이야기","['시기', '기대']",0
고(故)길창덕화백 추모웹툰,웹툰작가,9.76,"옴니버스, 일상",0,"대한민국 1세대 만화가이자 <꺼벙이>,<순악질여사>,<재동이>등 한국 명랑만화의 효시가 되신 故길창덕 선생님.우리에게 ‘만화의 즐거움’을 선물해 주신 선생님께 네이버 웹툰 작가들이 추모 웹툰을 올립니다.","['즐거움', '만화가', '주신', '창덕', '선생님', '선물', '대한민국', '세대', '여사', '한국', '명랑', '효시', '이자', '꺼벙이', '악질', '추모']",0
심부름센터 K,김선권,9.63,"옴니버스, 개그",0,수사9단의 김선권 작가의 신작.특별한 능력을 가진 직원들의 엉뚱하고도 황당한 임무 해결.,"['임무', '해결', '직원', '수사', '특별', '능력']",0
천적,꼬마비 / 재수,9.83,"옴니버스, 일상",0,"일반 사람들의 일상 대결이 펼쳐진다 
무규칙 일상 배틀 생중계!","['일반', '일상', '중계', '대결', '무규칙']",0
레인보우 로즈,김예린 / 장유라,9.93,"옴니버스, 판타지",0,"간절히 원하면 이루어진다? 
<2012 서울만화스카우트> 당선작 '레인보우 로즈'","['보우', '로즈', '당선작', '레인', '스카우트', '서울']",0
국가의 탄생,고리타,9.46,"옴니버스, 개그",0,"당신의 꿈이 이루어지는 세상은 축구장만이 아니다!힘들고 지친 자, 지는 해만 보면 눈물이 나는 자, 막힌 변기를 안고 한없이 울어본 적이 있는 자미칠듯이 달려가자, 또 다른 세상 파라다이시움으로!","['해만', '눈물', '다이시', '변기', '세상', '축구장']",0
외모지상주의,박태준,9.45,"스토리, 드라마",0,못생기고 뚱뚱하다고 괴롭힘을 당하며  루저 인생만 살아온 내가 잘생겨졌다는 이유로 인싸가 됐다.어느 날 자고 일어났더니 갑자기 완벽한 외모와 몸을 지닌 사람이 되어 깨어난다면?,"['내가', '이유', '외모', '완벽', '인생']",0
여신강림,야옹이,9.64,"스토리, 로맨스",0,"네웹 대표 글로벌 인기작! 주경, 수호, 서준. 세 청춘의 두근두근 눈호강 로맨스~♡메이크업으로 여신이 된 주경이는 꿈과 사랑을 이룰 수 있을까?","['여신', '수호', '사랑', '호강', '로맨스', '글로벌', '대표', '인기', '주경', '청춘', '메이크업']",0
싸움독학,박태준 / 김정현,9.81,"스토리, 액션",0,힘없고 가진거 하나 없이 맞고만 살던 나였는데...우연히 비밀의 뉴튜브를 발견하게 되고 갑자기 떼돈을 벌었다.,"['비밀', '발견', '떼돈', '튜브']",0
연애혁명,232,9.87,"스토리, 드라마",0,"평범하면서 금사빠인 고등학생 순정남 공주영은 까칠하고 차가운 여학생 왕자림을 보고 사랑에 빠져버린다.너무 다른 둘, 괜찮을까?","['사랑', '고등학생', '공주', '정남', '자림', '금사', '평범', '여학생']",1
고수,류기운 / 문정후,9.97,"스토리, 액션",0,<용비불패> 최강의 콤비가 무협의 전설을 다시 쓰다! 천하제일의 고수 강룡. 그리고 수많은 다른 고수들의 이야기.,"['최강', '무협', '불패', '고수', '전설', '콤비', '강의', '천하제일', '용비']",0
여성전용헬스장 진달래짐,유기,8.74,"스토리, 스포츠",0,숨쉬기 운동만 해본 직장인의 인생 최초 헬스 PT 도전기!계나리는 저렴한 가격임에도 꽤나 좋은 옥탑방으로 이사오게 된다.그러나 알고 보니 그 방은 아래층 여성 전용 헬스장과 비밀 계단으로 이어져 있었다.헬스장 관장이자 집주인 진달래는 리모델링으로 전세금을 다 써버린 상태.돌려줄 전세금을 모을 동안 계나리에게 3개월간 무료 PT를 제안하는데..!,"['이사', '운동', '전용', '무료', '제안', '나리', '가격', '직장인', '헬스장', '리모델링', '헬스', '전세금', '상태', '동안', '이자', '전기', '관장', '집주인', '도전', '비밀', '계단', '아래층', '숨쉬기', '최초', '인생', '진달래', '장과']",0
프리드로우,전선욱,9.9,"스토리, 드라마",0,한태성을 중심으로 벌어지는 다양한 청춘들의 스펙타클한 학원 시트콤 드라마,"['시트콤', '학원', '태성', '다양', '스펙타클', '청춘', '중심', '드라마']",1
전지적 독자 시점,UMI / 슬리피...,9.95,"스토리, 판타지",0,"'이건 내가 아는 그 전개다'한순간에 세계가 멸망하고, 새로운 세상이 펼쳐졌다.오직 나만이 완주했던 소설 세계에서 평범했던 독자의 새로운 삶이 시작된다.","['완주', '독자', '세계', '한순간', '소설', '전개', '멸망', '세상', '평범']",0
더 복서,정지훈,9.94,"스토리, 액션",0,"재능있는 복서를 찾던 전설적인 트레이너 K는 기묘한 소년을 발견한다.그의 충격적인 재능은 과연 축복일까, 저주일까?!","['적인', '트레이너', '재능', '전설', '축복', '소년', '충격적', '복서', '발견', '충격', '저주']",0
호랑이형님,이상규,9.98,"스토리, 액션",0,신비한 힘을 가진 아이를 이용하여 세상을 지배하려는 반인반수 흰눈썹! 그리고 얼떨결에 아이의 보호자가 된 괴물호랑이 빠르와 착호갑사 지망생 가우리!이제 힘을 합쳐 흰눈썹으로부터 아이와 세상을 지켜라!!!,"['반인', '지배', '얼떨결', '괴물', '갑사', '착호갑사', '지망', '호랑이', '가우리', '이용', '신비', '지망생', '반수', '아이', '보호자', '눈썹', '세상']",0
데드퀸,김규삼,9.95,"스토리, 판타지",0,"절망에 빠져 죽음이 임박했을때, 진짜 여왕이 재림한다!하이브 세계관의 장대한 끝, 데드퀸","['데드', '진짜', '절망', '장대', '죽음', '재림', '여왕', '이브', '임박', '세계관']",0
뷰티풀 군바리,설이 / 윤성원,9.82,"스토리, 드라마",0,'여자도 군대에 간다면?'본격 여자도 군대 가는 만화!,"['본격', '군대']",0
복학왕,기안84,9.15,"스토리, 드라마",0,패션왕 우기명이 돌아왔다!즐거운 대학 생활?! 과연?!,"['대학', '기명', '생활', '패션']",0
관계의 종말,김용키,9.72,"스토리, 스릴러",0,"<타인은 지옥이다> 김용키 작가의 신작!여자친구와 함께 떠난, 비경에 숨겨진 펜션으로의 여름휴가.하지만 불쾌한 펜션 주인을 시작으로 주인공의 트라우마를 끄집어내는 끔찍한 만남들이 이어진다.지옥으로 치닫는 사건과 사고.. 이제 모든 것을 끝낼 때가 왔다.","['친구', '사건', '여름휴가', '만남', '불쾌', '우마', '지옥', '주인공', '트라', '주인', '비경', '타인', '사고']",0
갓 오브 하이스쿨,박용제,9.65,"스토리, 액션",0,"전국, 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다.허구 100% 막장 액션의 끝!! 기대하시라!!!","['허구', '고등학생', '대회', '전세계', '액션', '막장', '전국', '기대']",1
바른연애 길잡이,남수,9.97,"스토리, 로맨스",0,매일 다이어리에 세워 둔 계획을 지키며 바른 생활을 실천하는 정바름.하지만 동아리 선배에게 느끼는 연애 감정만큼은 계획처럼 진행되지 않는데...모두의 로망을 충족시켜 줄 설렘 달달 캠퍼스 로맨스!,"['계획', '만큼', '캠퍼스', '모두', '동아리', '충족', '진행', '로망', '로맨스', '다이어리', '선배', '실천', '생활', '연애', '감정']",0
윈드브레이커,조용석,9.87,"스토리, 스포츠",0,혼자서 자전거를 즐겨타던 모범생 조자현.원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!,"['자유', '모범생', '자현', '크루', '자전거', '청춘', '혼자', '드라마', '라이']",0
이두나!,민송아,9.96,"스토리, 로맨스",0,"(구)아이돌, 첫사랑, 소개팅녀까지 한 집에 모였다! <나노리스트> 민송아 작가의 두근두근 누나 리스트!","['첫사랑', '리스트', '소개팅', '아이', '누나', '송아']",0
참교육,채용택 / 한가람,9.59,"스토리, 액션",0,무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!<부활남> 채용택 작가 X <신석기녀> 한가람 작가의 신작!,"['보호국', '교권', '채용', '한가람', '신석기', '진의', '소속', '참교육', '나화', '부활', '교육']",0
취사병 전설이 되다,제이로빈 / 이진수,9.95,"스토리, 판타지",0,"대한민국 대표 흙수저, 강성재. 불안하기만 한 군생활에 한줄기 빛처럼 다가온 전설의 취사병이 될 기회!","['한줄기', '기회', '대한민국', '취사', '불안', '성재', '대표', '수저', '전설', '생활', '취사병']",0
백수세끼,치즈,9.87,"스토리, 드라마",0,백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!,"['메뉴', '역사', '백수', '시절', '음식', '연애']",0
소녀의 세계,모랑지,9.97,"스토리, 드라마",0,완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물,"['친구', '우정', '진짜', '오리', '백조', '사실', '완벽', '갈등', '소녀', '맘씨']",0
바이러스X,준 / 하랑,8.6,"스토리, 스릴러",0,인류를 위협하는 사망률 100%의 바이러스.,"['바이러스', '인류', '사망률', '위협']",0
재혼 황후,알파타르트 / 숨풀,9.97,"스토리, 로맨스",0,동대제국의 완벽한 황후였던 나비에.​황제인 남편이 정부를 황후로 만들려는 것을 알고 이혼을 택한다. 그리고 결심한다.이곳에서 황후가 될 수 없다면 다른 곳에서 황후가 되겠다고.인기 웹소설 <재혼 황후>가 웹툰화되다!,"['황제', '정부', '완벽', '이혼', '인기', '소설', '남편', '황후', '나비', '결심', '대제국']",0
열렙전사,김세훈,9.95,"스토리, 판타지",0,"'퀘스트를 클리어 하는 자, 모든 것을 얻을 것이다'현실 밖의 현실, 루시드 어드벤쳐 최강의 용사 '열렙전사'와 동료들이 벌이는 본격 RPG 어드벤쳐.","['최강', '용사', '현실', '동료', '시드', '본격', '전사', '클리어']",0
랜덤채팅의 그녀!,박은혁,9.71,"스토리, 드라마",0,랜덤채팅만 하던 준우에게 온 기적!과연 그녀(들)에게 다가갈수 있을까?!(읽다 보면 원픽 캐릭터 무조건 생김ㅇㅇ),"['준우', '기적', '랜덤', '캐릭터', '채팅']",0
비질란테,CRG / 김규삼,9.98,"스토리, 액션",0,법은 구멍이 나 있다. 내가 그 구멍을 메운다. 널 풀어준 법을 원망해라.,"['원망', '구멍']",0
힙한남자,혜니,9.76,"스토리, 로맨스",0,"국내 요가복 회사 2위 ‘립앤힙’의 대표인 성가은,그토록 찾던 물복반 딱복반 엉덩이를 만나다..?!<구구까까> 혜니 작가의 신작!","['회사', '엉덩이', '국내', '구구', '요가', '대표', '대표인', '복반', '성가', '까까']",0
1초,시니 / 광운,9.98,"스토리, 드라마",0,"구조율 100%의 전설적인 소방관.  그의 특별한 능력은 긴장하는 순간, 미래가 보인다는 것! 촌각을 다투는 진짜 소방관들의 이야기","['미래', '진짜', '긴장', '전설적', '구조', '전설', '특별', '촌각', '소방관', '능력']",0
하루만 네가 되고 싶어,삼,9.98,"스토리, 판타지",0,"'완벽한 인생이었다, 그 애가 나타나기 전까지는'반전에 반전을 거듭하는 치밀한 궁중 서스펜스네이버웹툰 최강자전 19년 대표작.","['대표작', '최강', '궁중', '반전', '최강자', '완벽', '서스펜스', '인생']",0
격기3반,이학,9.65,"스토리, 스포츠",0,"한국이 세계 격투기의 중심이 된 세상. 전국 탑 클래스 격투기 학생들만 모인 남일고에 약골 소년 주지태가 돌연 투입된다.신체적 약점이 상쇄되는 무술 ‘주짓수’를 통해, 주지태는 격기반의 정점에 오를 수 있을 것인가…?","['기반', '모인', '클래스', '학생', '격투기', '약점', '정점', '주지', '무술', '세계', '일고', '약골', '소년', '상쇄', '세상', '중심', '투입', '신체적', '한국', '전국']",0
간 떨어지는 동거,나,9.97,"스토리, 로맨스",0,인간이 되고자 900년간 노력해왔지만  불의의 사고로 한 여대생에게 여우구슬을 빼앗기게 된 (잘생긴) 구미호 어르신.어르신은 사태를 해결하기 위해 그녀에게 동거를 제안하게 되는데...,"['불의', '동거', '여우', '어르신', '여대생', '사태', '해결', '제안', '노력', '구미호', '여대', '사고', '구슬']",0
이번 생도 잘 부탁해,이혜,9.98,"스토리, 로맨스",0,19회차 인생 로맨스의 최대 라이벌은 18회차 때의 나?전생을 기억하는 여자의 저돌적 로맨스,"['저돌적', '전생', '라이벌', '최대', '회차', '로맨스', '기억', '인생', '저돌']",0
후기,조석,9.95,"스토리, 스릴러",0,무가지에 연재되던 삼류 소설이 사실은 누군가의 살인 후기였다!,"['삼류', '연재', '사실', '살인', '무가지', '소설', '후기']",0
튜토리얼 탑의 고인물,방구석김씨 / 오...,9.33,"스토리, 액션",0,저주로 인해 튜토리얼 탑에 갇힌 헌터. 레벨업을 하며 넘사벽 능력을 갖게 된 그가 12년 만에 탑 밖의 세상에 나간다!,"['사벽', '토리', '세상', '저주', '레벨', '능력']",0
사신소년,류,9.92,"스토리, 액션",0,"수명을 대가로 죽은 자의 능력을 빌리는 소년! 화려한 액션에서 부터 스포츠, 두뇌 플레이까지 한계는 없다!","['대가', '한계', '소년', '액션', '두뇌', '수명', '자의', '스포츠', '플레이', '화려', '능력']",0
장씨세가 호위무사,조형근 / 김인호,9.97,"스토리, 시대극",0,‘당신이 부른 것이오. 나란 사람을... ’은둔고수 광휘. 호위무사 되다.웹소설 원작 웰메이드 무협 시대극!,"['광휘', '시대극', '이드', '호위', '무사', '은둔', '원작', '고수', '소설', '무협']",0
개를 낳았다,이선,9.97,"스토리, 드라마",0,사랑스러운 너와의 첫 만남부터 이별까지. 서툰 주인과 강아지 명동이가 함께 성장해나가는 이야기.,"['이별', '사랑', '만남', '너와', '주인', '강아지', '성장']",0
노답소녀,석우,9.87,"스토리, 로맨스",0,<하나의 하루> 석우 작가의 신작! 재벌가 손녀인 가빈은 친구 한 명 없는 왕따에 성격까지 노답이다. 5억원을 대가로 가빈을 비밀리에 경호하기 위해 전학 온 태웅. 과연 태웅은 정체를 숨긴 채 가빈을 잘 경호할 수 있을까?,"['친구', '재벌', '경호', '대가', '정체', '전학', '왕따', '가빈', '손녀', '하루', '비밀리', '하나', '성격']",1
