제목,작가,평점,장르,연령,한줄 스토리,스토리 키워드,학원물
진짜 정말 맹세코 좋아해,개차반 / 잠괴물,9.87,"에피소드, 로맨스",0,내 눈 앞에서 사람을 죽인 정체모를 여자. 그녀가 오늘부터 나를 <사랑>하겠다는데?! 약간은 무섭고 약간은 신경쓰이는 정체불명 그녀에게 사랑받는 구주오의 생존 일대기.,"['정체', '약간', '사랑', '정체불명', '불명', '오의', '신경', '일대기', '생존', '구주', '오늘']",0
홍시는 날 좋아해!,강하다 / 웃는해,9.97,"에피소드, 로맨스",0,스무 살 고3 홍시호가 전학 왔어요! 방긋방긋 웃는 모습 뒤에는 어떤 비밀이...?단내 나는 홍시가 예쁘게 여물어가는 이야기.,"['전학', '모습', '비밀', '호가', '단내', '홍시']",1
서브 콤플렉스,소이,9.94,"에피소드, 로맨스",0,눈 떠보니 순정만화 여자주인공! 여자 주인공이 되었지만 서브 남주가 더 좋아!,"['주가', '순정', '서브', '주인공']",0
웰캄투실버라이프,솔녀,9.97,"에피소드, 일상",0,"보고만 있어도 힐링되는 할아버지, 할머니와의 일상! 라떼는 말이야~ 금지!! 황혼 청춘의 본격 소통 이야기","['황혼', '일상', '청춘', '보고', '할아버지', '힐링', '본격', '소통', '할머니', '금지']",0
자판귀,윤정민,9.95,"에피소드, 스릴러",0,"자판기에서 내가 원하는 것이 나온다!?데뷔를 꿈꾸는 연습생 박도영. 대표의 비리로 데뷔가 무산되자, 만취한 상태로 골목길을 헤매다 수상한 자판기를 보게 되는데...","['골목길', '수상', '자판기', '무산', '박도', '연습', '만취', '데뷔', '대표', '상태', '비리']",0
마음의소리,조석,9.86,"에피소드, 개그",0,솔직 담백 최강의 개그 만화 <마음의 소리>날 가져요 엉엉,"['개그', '최강', '소리', '마음']",0
인터셉트,임주이,9.92,"에피소드, 로맨스",0,비 오는 날이면 늘 안 좋은 일만 생기던 그녀에게 처음으로 내린 따스한 비.사랑에 지친 윤서에게 새로운 사랑이 찾아온다!,"['윤서', '사랑', '처음']",0
대학일기,자까,9.97,"에피소드, 개그",0,로망이 꽃피는 캠퍼스는 없다.극사실주의에 기반한 너무나 현실적인 우리의 대학일기,"['기반', '캠퍼스', '대학', '현실', '사실', '실적', '일기', '로망', '주의']",0
수상한 비밀상담부,149,9.93,"에피소드, 스릴러",0,"태희는 같은 반 해원이 자꾸만 자기를 쳐다보는 게 신경 쓰인다.쳐다보는 이유를 알기 위해 방과후 해원을 쫓아가는데…골목길에서 해원이 웬 남자애랑 지금 뭐 하는 거지?!충격과 혼란이 가득한 태희에게 해원이 건넨 말, ""야, 네 뒤에 귀신 붙었다.""귀신 찾는 놈, 김찬!귀신 잡는 놈, 최민우!귀신 같은 놈, 김해원!귀신 꼬이는 놈, 한태희!개성 강한 네 사람의 우당탕탕 오컬트 청춘 성장 드라마!!","['골목길', '지금', '귀신', '해원', '거지', '강한', '이유', '혼란', '충격', '신경', '청춘', '방과', '성장', '남자애', '드라마', '오컬트']",0
불발소년,곤세,9.85,"에피소드, 드라마",0,"킬러소년 민준, 소녀를 만나고 삶이 달라지다어렸을 때부터 프로 킬러로 교육받고 자란 민준은 어느날 수학여행에서 한 소녀를 만나게 되고 감정이 없는 그에게 감정이라는 것이 자라나기 시작한다.","['수학여행', '킬러', '소녀', '소년', '프로', '교육', '감정']",0
조선왕조실톡,무적핑크,9.89,"에피소드, 개그",0,"어느 날 메신저로 찾아온, 조선 시대 그분들의 시시콜콜한 이야기.무적핑크 작가 신작!","['메신저', '핑크', '시대', '무적', '조선']",0
다함께 이겨내요,웹툰작가,9.88,"에피소드, 감성",0,"2020 힘을 내요 대한민국,네이버웹툰 작가님들이 응원의 일러스트로 마음을 전합니다.","['대한민국', '일러스트', '러스트', '마음']",0
MLB카툰,최훈,8.04,"에피소드, 스포츠",0,최훈 작가가 들려주는 생.생.M.L.B.뉴.스!! Major League Baseball Cartoon (Naver스포츠의 최훈스페셜에서 제공받는 컨텐츠로 업데이트일은 스포츠와 동일합니다.),"['동일', '일은', '컨텐츠', '제공', '스포츠', '스페셜', '업데이트']",0
만물의 영장,보민,9.98,"에피소드, 개그",0,"바다에 빠져 실종된 후, 무인도에서 7년 만에 살아 돌아온 우영장의 좌충우돌 문명 적응기!그의 몸은 단단한 근육질로 변했고 온갖 동물과의 의사소통은 물론, 특별한 능력까지 구사하며 사건사고가 끊이질 않는다.과연 영장은 밀림보다 무섭다는 도시에서 살아남을 수 있을까?","['근육질', '동물', '물론', '영장', '사건', '문명', '바다', '적응', '밀림', '의사소통', '실종', '좌충우돌', '구사', '특별', '무인도', '도시', '적응기', '사고', '능력']",0
놓지마 정신줄,신태훈 / 나승훈,9.92,"에피소드, 개그",0,"정신, 정주리 남매와 독특한 주변 인물들의정신줄 놓게 만드는 다양한 에피소드들!
본격 유체이탈 예방 프로젝트 ‘놓지마 정신줄!’","['이탈', '유체', '예방', '정주', '프로젝트', '다양', '주변', '인물', '남매', '에피소드', '본격', '정신', '독특']",0
2020 최애캐의 MBTI,웹툰작가,9.65,"에피소드, 일상",0,"사랑, 갈등, 눈물.. 그래서 그랬구나내가 좋아하는 웹툰 주인공, 어떤 타입일까?최애캐들의 MBTI를 기대해주세요!","['사랑', '눈물', '갈등', '타입', '주인공', '기대']",0
힘내요 일본!-[릴레이웹툰],웹툰작가,6.99,"에피소드, 일상",0,네이버 웹툰작가들이 지진해일로 어려운 상황을 맞은 일본을 응원합니다.,"['상황', '일본', '지진', '응원']",0
수능일기,자까,9.98,"에피소드, 개그",0,대학에 가면 모든게 행복할 줄 알았던...그 때의 처절했던 기억 속으로...,"['대학', '기억', '처절', '행복']",0
역전! 야매요리,정다정,9.83,"에피소드, 개그",0,"그녀가 했으니 당신도 할 수 있다!
실패가 두렵지 않은 발칙한 요리 도전기, 포토툰으로 만나다.","['포토', '요리', '도전', '전기', '실패']",0
놓지마 정신줄 시즌2,신태훈 / 나승훈,9.95,"에피소드, 개그",0,"정신, 정주리 남매와 독특한 주변 인물들의정신줄 놓게 만드는 다양한 에피소드들!본격 유체이탈 예방 프로젝트 '놓지마 정신줄'을 이제 컷툰으로 만나보세요","['이탈', '유체', '예방', '정주', '프로젝트', '이제', '다양', '주변', '인물', '남매', '에피소드', '본격', '정신', '독특']",0
세상은 돈과 권력,한동우 / 이도희,9.89,"에피소드, 드라마",0,"재벌 3세가 일반 고등학교에 들어오면서, 선생들과 학생들은 거대 자본에 굴복해 권력을 차지하기 위한 '두뇌싸움'이 난무하는 학교로 바뀐다. 이 학교의 법칙을 부수기 위해 천재 '단건우'가 전학온다.","['일반', '재벌', '고등학교', '거대', '싸움', '천재', '건우', '권력', '전학', '법칙', '자본', '두뇌', '학교', '차지', '난무', '세가', '선생', '굴복', '학생']",1
밥 먹고 갈래요?,오묘,9.97,"에피소드, 감성",0,이리 뛰고 저리 뛰고 깨지고 구르고. 지칠대로 지친 주중을 보내고 나면 찾아오는 주말 힐링 타임. 오묘 작가의 컷툰 신작!,"['타임', '주말', '주중', '오묘', '지친']",0
와탕카,우주인,9.63,"에피소드, 개그",0,"와탕카='만세','지화자'
좋은 패가 들어오면 외치는 단어 와탕카! 우주인 작가님의 불타는 유머 센스에 우리 모두 와탕카!!","['모두', '우주인', '센스', '단어', '지화자', '유머']",0
돼지만화,돼지작가,4.56,"에피소드, 일상",0,주의 : 돼지들만 보시오! 맛있는 걸 좋아하는 동네 돼지들의 일상!,"['동네', '일상', '돼지', '주의']",0
웅이는 배고파,박웅,9.73,"에피소드, 일상",0,배고픈 웅이의 먹부림 이야기,[],0
선천적 얼간이들,가스파드,9.98,"에피소드, 개그",0,뭘해도 안되는 얼간이 신인류가 떴다!낙천적 우유부단 가스파드와말초적 친구들의 좌충우돌 라이프,"['친구', '무엇', '말초적', '얼간이', '가스', '인류', '좌충우돌', '우유부단', '낙천', '라이프', '낙천적']",0
낢이 사는 이야기,서나래,9.81,"에피소드, 일상",0,"혼란의 도가니인 인생 속에서 울고, 웃고, 먹고, 마신다!십년 넘게 이어지는 소소한 낢의 사생활 이야기. 오늘도 삶은 계속됩니다.","['사생활', '소한', '혼란', '도가니', '인생', '오늘', '계속']",0
골방환상곡,워니 / 심윤수,9.92,"에피소드, 일상",0,"공감 100% 에 도전한다~ 절대 센스 Wony와 함께하는 골방 환상곡! 네이버 전격 오픈!
늑대 워니와 그의 친구 곰이 보여주는 리얼 공감 스토리~","['친구', '리얼', '골방', '스토리', '오픈', '전격', '공감', '센스', '환상곡', '늑대', '도전', '절대']",0
공감.jpg,임총,4.43,"에피소드, 개그",0,"""이거 나만 그런거 아니지?""응, 너만 그런거 아니야. 반박불가 공감이 밀려온다.","['반박', '불가', '공감']",0
2019 루키 단편선-지옥캠프,웹툰작가,9.88,"에피소드, 드라마",0,"전설 이현세, 이두호 작가가 직접 프로듀싱한지옥캠프 단편선 2019! 슈퍼 루키의 데뷔!","['이두', '직접', '슈퍼', '현세', '지옥', '캠프', '데뷔', '전설', '단편', '프로']",0
오빠 왔다,모나,9.7,"에피소드, 개그",0,"드라마나 영화에 나오던 착한오빠는 없다.
리얼 남매이야기 진짜 오빠가 왔다!","['리얼', '남매', '영화', '오빠', '드라마']",0
생활의참견,김양수,9.95,"에피소드, 일상",0,"쉽게 지나치는 일상과 지나간 추억 속에서 발견하는 유쾌한 웃음,
삶의 유머를 녹여낸 황당유쾌추억생활만화!","['일상', '추억', '발견', '웃음', '생활', '유머']",0
나는 귀머거리다,라일라,9.98,"에피소드, 일상",0,대한민국에서 청각장애인이 살아가는 이야기,"['대한민국', '장애인', '청각']",0
플라워(FLOWAR),홍작가,9.93,"에피소드, 드라마",0,인류가 정착하기 좋은 환경을 갖고 있다고 알려진 행성 ‘프록시마G’.,"['시마', '환경', '인류', '정착', '행성']",0
