idx,name,score,writer,age_limit
145,불괴,9.40,폭주필,0
146,움비처럼,9.89,권혁주,0
147,Yes my boss(예스마이보스),9.97,김밀콩,0
148,엄마와 딸 x2,9.97,필냉이,0
149,내일은 웹툰,9.88,신의철,0
150,2인용 인간,9.86,WONDER,0
151,와장창창! 자취맨,9.95,폭타,0
152,까뱅,8.82,X-TEAM,0
153,태릉좀비촌,9.36,하얀독수리,0
154,영월동 534번지,9.77,임성훈,0
155,토니와 함께,9.92,정성완,0
156,스마일브러시,9.94,와루,0
157,밥풀때기,9.80,Dylan,0
158,1인용 기분,9.97,윤파랑,0
159,어른의 계절,9.83,선홍달,0
160,우리 안의 주,9.12,폭스바니,0
161,견원지간 로맨스,9.60,최현옥,0
162,한스와 에밀리,9.92,김지효,0
163,겨울동화,9.89,심윤수,0
164,피터팬날다,8.82,서랍천사,0
165,"스마일 브러시, 오래된 사진.",9.94,와루,0
166,동경소녀,9.66,로보타,0
167,가족의 초상,9.75,김승택,0
168,판타스틱 어른백서,9.03,이동욱,0
169,징글정글,9.81,김용진,0
170,기기괴괴,9.90,오성대,0
171,살人스타그램,9.59,령,1
172,청춘 블라썸,9.97,홍덕,0
173,단편.zip,9.66,웹툰작가,0
174,히어로메이커,9.96,빤쓰,0
175,AI가 세상을 지배한다면,9.91,POGO,0
176,결혼생활 그림일기,9.93,은꼼지,0
177,내일,9.97,라마,0
178,신상 미스터리 극장,9.72,신상윤,0
179,먹이,9.98,외눈박이,0
180,우리는 요정!,9.92,억수씨,0
181,2020 호랑 공포 단편선,9.87,호랑,0
182,스크립토리움,9.94,Song,0
183,후덜덜덜 남극전자,9.94,김민혁,0
184,로그아웃,9.81,임목원,0
185,당신의 향수,9.98,호우,0
186,이말년씨리즈,8.95,이말년,0
187,덴마,9.54,양영순,0
188,고(故)노무현 前대통령 추모웹툰,9.39,웹툰작가,0
189,마루한 - 구현동화전,9.89,박성우,0
190,하루 3컷,9.91,배진수,0
191,한 살이라도 어릴 때,9.95,"김진, 서나래, ...",0
192,야자괴담,9.95,이도광,0
193,중독연구소,9.89,김택기,0
194,2011 미스테리 단편,8.44,웹툰작가,0
195,2013 전설의고향,9.20,웹툰작가,0
196,죽음에 관하여,9.97,시니,0
197,입시명문사립 정글고등학교,9.91,김규삼,0
198,아스란영웅전,9.94,박성용,0
199,닥터 프로스트 시즌 1~2,9.95,이종범,0
200,이말년씨리즈 2018,8.80,이말년,0
201,금요일 베스트,9.95,배진수,0
202,2015 소름,9.83,웹툰작가,0
203,싸우자귀신아,9.90,임인스,0
204,나는 어디에 있는 거니,9.83,서나래,0
205,낢에게와요,9.88,서나래,0
206,"2014 네이버 웹툰, 왓 이프?",9.69,웹툰작가,0
207,우리들은 푸르다,9.32,문택수,0
208,오민혁 단편선,9.97,오민혁,0
209,DEY 호러채널,9.95,DEY,0
210,삼국전투기,9.37,최훈,0
211,2015 사이,9.88,웹툰작가,0
212,2017 사이다를 부탁해!,9.78,웹툰작가,0
213,2012 지구가 멸망한다면?,9.26,웹툰작가,0
214,자율공상축구탐구만화,9.27,조석,0
215,2018 루키 단편선-지옥캠프,9.89,웹툰작가,0
216,2015 루키 단편선-지옥캠프,9.92,웹툰작가,0
217,2016 비명,9.14,웹툰작가,0
218,공부하기 좋은 날,9.84,황준호,0
219,2017 멋진 신세계,9.93,웹툰작가,0
220,호랭총각,9.90,강호진,0
221,귀전구담,9.98,QTT,0
222,남기한엘리트만들기,9.94,미티,0
223,놓정동화,9.93,신태훈,0
224,2017 루키 단편선-지옥캠프,9.88,웹툰작가,0
225,사랑in,9.51,전세훈,0
226,구름의 노래,9.88,호랑,0
227,차차차,9.94,한나,0
228,천리마 네버다이,9.96,김규삼,0
229,타투,9.19,노지현,0
230,리얼주주,9.87,손태규,0
231,호러전파상,9.74,봄소희,0
232,아이들의 권 선생님,9.95,호우,0
233,2015 우주특집 단편,9.54,웹툰작가,0
234,우바우,9.97,잇선,0
235,가령의 정체불명 이야기,9.95,가령,0
236,고고루키루,9.96,한경찰,0
237,2012 루키 단편선-지옥캠프,9.49,웹툰작가,0
238,카라멜마끼아또,9.90,김명현,0
239,2016 루키 단편선-지옥캠프,9.94,웹툰작가,0
240,킬러 김빵빵,9.82,김레옹,0
241,핑크레이디 클래식,9.91,"연우, 서나",0
242,귀도,9.91,주동근,0
243,2014 루키 단편선-지옥캠프,9.90,웹툰작가,0
244,한국만화거장전,9.90,한국만화가협회,0
245,12차원 소년들,9.89,컷부,0
246,웨스트우드 비브라토,9.92,윤인완,0
247,연,9.78,구아진,0
248,내일은 럭키곰스타,9.52,김풍,0
249,차원이 다른 만화,9.95,요엔,0
250,색으로 말하다,9.90,요한,0
251,네로의 실험실,9.95,외눈박이,0
252,소곤소곤,9.97,옛사람,0
253,수사9단,9.90,김선권,0
254,S라인,9.85,"꼬마비,앙마비",0
255,퓨리스틱,9.94,유성연,0
256,탐구생활3,9.79,메가쇼킹,0
257,2013 루키 단편선-지옥캠프,9.81,웹툰작가,0
258,탐구생활4-그대와 함께 하이킹,9.68,메가쑈킹,0
259,사노라면,9.77,네이버 웹툰 작가,0
260,고(故)길창덕화백 추모웹툰,9.76,웹툰작가,0
261,심부름센터 K,9.63,김선권,0
262,천적,9.83,꼬마비,0
263,레인보우 로즈,9.93,김예린,0
264,국가의 탄생,9.46,고리타,0
265,외모지상주의,9.45,박태준,0
266,여신강림,9.64,야옹이,0
267,싸움독학,9.81,박태준,0
268,연애혁명,9.87,232,0
269,고수,9.97,류기운,0
270,여성전용헬스장 진달래짐,8.74,유기,0
271,프리드로우,9.90,전선욱,0
272,전지적 독자 시점,9.95,UMI,0
273,더 복서,9.94,정지훈,0
274,호랑이형님,9.98,이상규,0
275,데드퀸,9.95,김규삼,0
276,뷰티풀 군바리,9.82,설이,0
277,복학왕,9.15,기안84,0
278,관계의 종말,9.72,김용키,0
279,갓 오브 하이스쿨,9.65,박용제,0
280,바른연애 길잡이,9.97,남수,0
281,윈드브레이커,9.87,조용석,0
282,이두나!,9.96,민송아,0
283,참교육,9.59,채용택,0
284,취사병 전설이 되다,9.95,제이로빈,0
285,백수세끼,9.87,치즈,0
286,소녀의 세계,9.97,모랑지,0
287,바이러스X,8.60,준,0
288,재혼 황후,9.97,알파타르트,0
289,열렙전사,9.95,김세훈,0
290,랜덤채팅의 그녀!,9.71,박은혁,0
291,비질란테,9.98,CRG,0
292,힙한남자,9.76,혜니,0
293,1초,9.98,시니,0
294,하루만 네가 되고 싶어,9.98,삼,0
295,격기3반,9.65,이학,0
296,간 떨어지는 동거,9.97,나,0
297,이번 생도 잘 부탁해,9.98,이혜,0
298,후기,9.95,조석,0
299,튜토리얼 탑의 고인물,9.33,방구석김씨,0
300,사신소년,9.92,류,0
301,장씨세가 호위무사,9.97,조형근,0
302,개를 낳았다,9.97,이선,0
303,노답소녀,9.87,석우,0
304,나노마신,9.95,현절무,0
305,여주실격!,9.94,기맹기,0
306,초인의 시대,9.96,섭이,0
307,헬58,9.95,장성준,1
308,하렘의 남자들,9.81,"알파타르트,히어리...",0
309,신도림,9.95,오세형,0
310,중증외상센터 : 골든 아워,9.97,한산이가,0
311,파이게임,9.92,배진수,0
312,캐슬,9.97,정연,0
313,맘마미안,9.96,미티,0
314,화이트 블러드,9.97,임리나,0
315,앵무살수,9.97,김성진,0
316,사상최강,9.53,황규영,0
317,남주의 첫날밤을 가져버렸다,9.97,"황도톨,티바",0
318,하드캐리,9.91,조양,0
319,소녀재판,9.73,루즌아,0
320,스터디그룹,9.96,신형욱,0
321,입학용병,9.77,YC,0
322,원수를 사랑하라,9.95,정윤,0
323,왕년엔 용사님,9.93,고샤,0
324,만렙돌파,8.33,"성불예정,홍실",0
325,전자오락수호대,9.97,가스파드,0
326,연놈,9.86,상하,0
327,고삼무쌍,9.94,B급달궁,0
328,레사 시즌2~3,9.97,POGO,0
329,유일무이 로맨스,9.98,두부,0
330,뫼신 사냥꾼,9.87,윤현승,0
331,천하제일인,9.76,권순규,0
332,광장,9.97,오세형,0
333,성인초딩,9.56,미티,0
334,일렉시드,9.73,손제호,0
335,낙향문사전,9.93,바킹독,0
336,원주민 공포만화,9.91,원주민,0
337,무사만리행,9.92,운,0
338,꽃만 키우는데 너무강함,9.97,쿰타타,0
339,걸어서 30분,9.98,이온도,0
340,토끼대왕,9.93,김숭늉,1
341,도망자,9.88,신영우,0
342,달콤살벌한 부부,9.92,플라비,0
343,민간인 통제구역,9.96,OSIK,0
344,아이레,9.67,설이,0
345,난약,9.95,정현주,0
346,판타지 여동생!,9.87,유누,0
347,경비 배두만,9.95,이영곤,0
348,요리GO,9.93,HO9,0
349,집이 없어,9.95,와난,0
350,극야,9.96,운,0
351,사냥개들,9.75,정찬,1
352,현혹,9.98,홍작가,0
353,던전 씹어먹는 아티팩트,9.73,엄키,0
354,신의 탑,9.94,SIU,0
355,빌드업,9.90,911,0
356,벚꽃이 흩날릴 무렵,9.76,황양,1
357,어글리후드,9.98,미애,0
358,나를 바꿔줘,9.80,이지호,0
359,나이트런,9.93,김성민,0
360,냐한남자,9.98,올소,0
361,신비,9.98,반지,0
362,아홉수 우리들,9.98,수박양,0
363,체크포인트,9.96,송가,0
364,당신의 과녁,9.96,고태호,0
365,쿠베라,9.96,카레곰,0
366,트롤트랩,9.95,유비,0
367,견우와 선녀,9.97,안수민,0
368,플레이어,9.88,박종석,0
369,복학생 정순이,9.96,한짜장,0
370,선의의 경쟁,9.94,송채윤,0
371,악마와 계약연애,9.98,장진,0
372,최강전설 강해효,9.64,최병열,0
373,구남친이 내게 반했다,9.89,강하다,0
374,각자의 디데이,9.96,오묘,0
375,행성인간,9.95,조석,0
376,귀곡의 문,9.98,삼촌,0
377,합격시켜주세용,9.98,이온,0
378,싸이코 리벤지,9.83,기송,0
379,무모협지,9.95,초신우,0
380,빅맨,9.75,하하영,0
381,두번째 생일,9.88,스프링,0
382,마법스크롤 상인 지오,9.96,엄재경,0
383,용왕님의 셰프가 되었습니다,9.98,문백경,0
384,정순애 식당,9.98,아르몽,0
385,마녀와 용의 신혼일기,9.93,뉴릉이,0
386,갓핑크,9.96,이상신,0
387,성경의 역사,9.13,최경민,0
388,옆집친구,9.88,이한솔,0
389,오피스 누나 이야기,9.74,김자네,0
390,인어를 위한 수영교실,9.98,용찬,0
391,헬퍼 2 : 킬베로스,9.25,삭,0
392,보살님이 캐리해!,9.79,성코,0
393,로어 올림푸스,9.84,레이첼 스마이스,0
394,마른 가지에 바람처럼,9.96,달새울,0
395,태백 : 튜토리얼 맨,9.91,이난,0
396,아는 여자애,9.97,허니비,0
397,가슴털 로망스,9.91,갸오오,0
398,신의 언어,9.72,장래혁,0
399,갓물주,9.91,HD3,0
400,고래별,9.98,나윤희,0
401,자취방 신선들,9.93,마로,0
402,탑코너,9.85,윤성,0
403,구름이 피워낸 꽃,9.97,비온후,0
404,리턴 투 플레이어,9.86,인덱스,0
405,왕따협상,9.43,아이아리,0
406,별종,9.94,이무기,0
407,"플레이, 플리",9.96,이에프,0
408,정년이,9.98,서이레,0
409,이츠마인,9.97,럭스,0
410,방탈출,9.94,십박,0
411,금혼령-조선혼인금지령,9.96,천지혜,0
412,팔려 온 신부,9.65,"지기, 시크크",0
413,피와 나비,9.95,레민,0
414,동트는 로맨스,9.98,유월,0
415,아도나이,9.94,주동근,0
416,삶이 우리를 속일지라도,9.94,김지수,0
417,상남자,9.79,도가도,0
418,이것도 친구라고,9.96,제야,0
419,사장님을 잠금해제,9.94,박성현,0
420,미래의 골동품 가게,9.97,구아진,0
421,오늘 밤만 재워줘,9.77,해번,0
422,시월드 판타지,9.89,진돌,0
423,땅 보고 걷는 아이,9.95,다온,0
424,내게 필요한 NO맨스,9.94,마그네슘,0
425,롤랑롤랑,9.98,자유,0
426,가비지타임,9.96,2사장,0
427,얼굴천재,9.82,지에이,0
428,침범,9.83,공세리,1
429,별을 삼킨 너에게,9.92,ARI,0
430,일진이 사나워,9.82,강환영,0
431,소심한 팔레트,9.96,한민기,0
432,두근두근 연극부,6.78,김태경,0
433,남자주인공의 여자사람친구입니다,9.89,류희온,0
434,판사 이한영,9.48,문성호,0
435,새벽 두 시의 신데렐라,9.95,산차,0
436,올가미,9.96,해무리,0
437,스트러글,8.94,윤준식,0
438,다이스(DICE),9.42,윤현석,0
439,꿈의 기업,9.97,문지현,0
440,셧업앤댄스,9.97,이은재,0
441,한강예찬,9.94,김8,0
442,그놈은 흑염룡,9.97,혜진양,0
443,얌전한 사이,8.71,JQ,0
444,강남도깨비,9.71,이경민,0
445,더 트웰브,9.92,공현곤,0
446,은주의 방 2~3부,9.94,노란구미,0
447,공유몽,9.90,주신,0
448,평화선도부,8.96,최경민,0
449,닥터 프로스트 시즌 3~4,9.97,이종범,0
450,광해의 연인,9.95,유오디아,0
451,별이삼샵,9.95,혀노,0
452,데빌샷,9.94,CTK,0
453,안개무덤,9.95,김태영,0
454,사이드킥 2~3,9.97,신의철,0
455,피라미드 게임,9.94,달꼬냑,0
456,도롱이,9.97,사이사,0
457,열불 로맨스,9.96,홍치,0
458,학교정벌,9.31,나락,0
459,연우의 순정,9.96,이솔,0
460,압락사스,9.72,247,1
461,날 가져요,9.94,로즈빈,0
462,오일머니,9.94,정하용,0
463,틴맘,7.04,theterm,0
464,너의 미소가 함정,9.96,앵고,0
465,집사레인저,9.92,현실안주형,0
466,겟라이프,9.86,MOOHAK,0
467,오파츠,9.51,성진,0
468,오른눈이 보는 세계,9.95,코어,0
469,속보입니다,9.74,밀카,0
470,와이키키 뱀파이어,9.97,요니요니,0
471,킬더킹,9.64,마사토끼,0
472,피플,9.87,서승준,0
473,셈하는 사이,9.97,면지,0
474,호시탐탐,9.77,박현정,0
